F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,L
0.5268,0.3336,0.6997,0.4976,0.9724,0.3158,1.7171,0.0185,0.0106,1.9838,-0.0213,0.0246,3
0.2918,0.2719,0.6459,0.2241,0.7378,0.2574,1.6834,0.0625,0.0286,1.9644,-0.0056,0.0065,3
0.723,0.2897,1.0617,0.5399,1.2918,0.5118,1.1537,0.4307,1.2086,0.6427,0.9571,0.662,1
-0.0178,0.9781,0.248,1.0045,0.2617,1.1303,-0.0576,1.8007,0.0309,1.9653,-0.0677,0.0799,3
0.339,0.302,0.5153,0.4942,0.5936,0.5545,0.5314,0.4704,0.6225,0.537,0.5093,0.4972,1
0.4732,0.3046,0.6683,0.4455,0.8095,0.4224,1.7365,0.0013,0.0319,1.964,-0.0024,0.0035,3
0.0162,-0.0188,0.2976,0.0145,0.4584,-0.0351,-0.0587,0.0698,0.0099,-0.0098,-0.0519,0.0612,3
0.2405,0.4124,0.3764,0.6427,0.4999,0.6475,0.4117,0.5978,0.4728,0.6944,0.4349,0.5751,1
0.7364,0.3606,0.3379,1.3956,0.3809,0.6602,0.3742,1.3499,0.2766,0.7495,0.3453,1.3858,2
0.2472,0.383,0.4762,0.4897,0.5658,0.5331,0.4445,0.5271,0.4262,0.7066,0.5670000000000001,0.3801,1
0.8884,0.2158,1.1876,0.5403,1.2835,0.598,1.6801,0.0584,2.0253,-0.0346,0.0497,1.6709,3
0.2704,0.8443,0.6167,0.8324,0.7813,0.7781,1.6338,0.1169,-0.0219,2.026,-0.0887,1.8358,3
0.8093,0.1447,1.0198,0.269,1.2023,0.2014,1.642,0.1033,2.1177,-0.1391,-0.0849,0.1015,3
1.0837,0.0294,0.6675,0.5421,0.504,0.3997,0.7271,0.4673,0.6061,0.2526,0.7957,0.3861,2
0.3791,0.253,0.8544,0.0631,0.8729,0.1838,1.7806,-0.0531,0.0771,1.9127,-0.0361,0.0432,3
0.3648,0.5643,0.7458,0.4867,0.8342,0.5187,1.7375,-0.0065,-0.0981,2.1178,-0.0592,0.0712,3
1.1419,-0.047,0.6574,0.7773,0.5479,0.4382,0.7244,0.6954,0.5710000000000001,0.3823,0.7053,0.7203,2
0.9968,0.1254,0.3771,0.8535,0.3739,0.5202,0.4012,0.8273,0.3794,0.4933,0.3189,0.92,2
-0.0092,0.6616,0.0508,0.9117,0.1767,0.9075,0.02,1.7098,-0.0634,2.0767,-0.0202,0.0245,3
0.4297,0.1825,0.5939,0.3794,0.7233,0.3816,0.6731,0.2893,0.7694,0.3435,0.7308,0.2192,1
1.1036,-0.0009,0.5596,1.1638,0.4281,0.9927,0.5554,1.1705,0.4449,0.9107,0.5766,1.1397,2
0.4951,0.5899,0.9069,0.77,0.8367,1.1014,0.7952,0.9014,0.9185,1.0396,0.7024,1.0089,1
0.7864,-0.0236,1.0929,0.132,1.3518,0.0266,1.1642,0.048,1.4097,-0.0186,1.1813,0.0276,1
0.0514,1.0625,0.0394,0.4118,-0.009000000000000001,0.4001,0.1314,0.3037,0.0713,0.2978,0.071,0.3778,2
0.0928,0.4511,0.2259,0.6111,0.2024,0.7561,0.2166,0.6206,0.2474,0.7191,0.3004,0.5213,1
0.4167,0.5007,0.6382,0.7986,0.8046,0.8237,0.7404,0.6831,0.7403,0.9233,0.6321,0.8118,1
-0.0248,0.8079,0.3514,0.7237,0.4603,0.7386,0.0857,1.6323,0.0624,1.9227,-0.026,0.0312,3
1.0384,0.0824,1.5784,0.1819,1.2421,0.5329,1.7806,-0.0568,1.2397,0.369,1.6569,0.0824,2
0.0178,0.6441,0.1934,0.8153,0.208,0.9453,0.237,0.7618,0.2103,0.9556,0.0811,0.946,1
0.4198,0.136,0.7111,0.1498,0.7691,0.224,0.7126,0.1501,0.8195,0.1747,0.7925,0.0536,1
0.2273,0.4148,0.3511,0.6521,0.3822,0.7671,0.4646,0.5182,0.4037,0.7567,0.3498,0.6586,1
1.0141,0.1139,0.6173,1.1232,0.5625,0.5521,0.7679,0.9384,0.5604,0.517,0.5513,1.1934,2
0.6726,0.1323,1.1448,0.0959,1.362,0.0387,1.1697,0.0684,1.3696,0.0511,1.1821,0.0537,1
0.1881,0.2852,0.4351,0.364,0.5826,0.3299,1.6509,0.0993,-0.0776,0.0937,0.0361,-0.0443,3
1.1311,-0.0298,1.0137,0.7144,0.8036,0.2317,1.0759999999999998,0.6498,0.7927,0.2099,0.965,0.7713,2
1.0277,0.0876,0.536,1.1746,0.3294,0.7892,0.3724,1.3661,0.2953,0.7905,0.4678,1.2532,2
