F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,L
0.3907,0.6294,0.5879,0.7718,0.8172,0.6377,1.6973,0.0452,0.1263,1.8459,-0.0019,0.0013,3
0.3116,0.2006,0.6378,0.1844,0.8251,0.1021,1.7316,-0.002,-0.0054,0.0055,0.0616,-0.0748,3
-0.0482,0.6359,0.018000000000000002,0.8809999999999999,0.2713,0.7287,-0.0079,1.7429,-0.073,2.0824,0.0142,-0.0183,3
0.2398,0.5381,0.428,0.7827,0.4594,0.9249,0.4543,0.7498,0.4837,0.9178,0.3558,0.8688,1
0.4894,0.2322,0.9444,0.1599,1.1365,0.11,0.997,0.094,1.0839,0.1925,0.9986,0.097,1
1.1366,-0.0386,0.7026,0.6384,0.4141,0.5617,0.6621,0.6825,0.6124,0.3018,0.7418,0.5917,2
1.116,-0.0149,1.0759,0.6281,0.6518,0.9179,0.9002,0.8356,0.6325,0.8442,0.8748,0.8595,2
0.7783,0.0047,1.0487,0.2047,1.1697,0.2627,1.024,0.2338,1.2292,0.2135,1.0673,0.1827,1
1.1039,0.0015,1.5639,0.1408,1.0428,0.2625,1.3422,0.4042,0.9119,0.3649,1.3856,0.3508,2
1.1137,-0.0106,0.5751,0.8128,0.5425,0.4148,0.536,0.8606,0.6221,0.2954,0.601,0.7833,2
0.2098,0.4697,0.2148,0.8691,0.2709,0.9603,0.2065,0.8809,0.1751,1.0908,0.1634,0.9365,1
1.0659999999999998,0.0474,0.8390000000000001,0.3301,0.6501,0.2295,0.8427,0.3239,0.677,0.1715,0.7632,0.4213,2
-0.0046,0.454,0.1915,0.5706,0.3021,0.5829,-0.0653,1.8078,-0.0413,0.0492,0.009000000000000001,-0.0108,3
0.6307,0.474,0.9798,0.5770000000000001,0.9152,0.7924,1.9129,-0.214,2.0075,-0.0105,-0.0005,1.7301,3
0.0811,0.573,-0.0054,1.0595,0.0462,1.1418,0.0951,0.9377,0.0433,1.1576,0.0487,0.9916,1
-0.0861,1.2076,0.3407,1.0901,0.5373,0.9981,-0.0353,1.7764,-0.0012,2.0017,0.0253,1.7018,3
1.1027,0.0019,0.4964,0.5009,0.3975,0.381,0.5711,0.4126,0.3578,0.4157,0.6194,0.3533,2
0.0555,0.7274,0.3617,0.7326,0.5602,0.6382,1.9312,-0.2333,0.006999999999999999,1.9927,-0.0711,0.0828,3
1.1254,-0.0252,0.6776,0.1793,0.4287,0.2804,0.6003,0.2737,0.4541,0.237,0.6775,0.185,2
0.1641,0.5116,0.5404,0.4425,0.5521,0.5661,1.6993,0.0361,0.0281,1.9643,0.0613,-0.0728,3
0.8451,0.2537,1.1759,0.3158,1.1577,0.4833,1.6908,0.0506,1.8694,0.1534,-0.087,1.834,3
1.087,0.0205,0.3814,0.9184,0.3311,0.6046,0.3696,0.9346,0.3396,0.5683,0.4533,0.8328,2
1.0123,0.0917,1.2745,0.4656,1.3943,0.5197,1.5965,0.158,1.9634,0.0447,-0.0371,1.7758,3
0.3312,0.4549,0.4088,0.8564,0.4991,0.9237,0.3774,0.8868,0.4258,1.0343,0.44,0.8127,1
0.3025,0.45,0.6046,0.4666,0.7225,0.4639,1.8026,-0.0828,-0.0424,2.0495,-0.0342,0.043,3
1.1144,-0.0148,0.6321,0.0808,0.5397,0.0414,0.588,0.136,0.4192,0.1711,0.5523,0.1767,2
0.0481,1.0074,0.4296,0.9304,0.4478,1.0472,1.756,-0.0338,-0.0748,2.0893,-0.0425,0.0514,3
0.0584,0.5279,0.0824,0.8389,0.0858,0.9652,0.0799,0.8364,0.0164,1.0558,0.132,0.7804,1
-0.0065,0.7993,0.3267,0.7767,0.4522,0.768,-0.0282,1.7668,0.0497,1.9421,-0.0533,0.0649,3
